tid,chembl_id
10705,CHEMBL2045
10706,CHEMBL2478
10707,CHEMBL2156
10709,CHEMBL3254
10710,CHEMBL2398
10711,CHEMBL4079
10712,CHEMBL2193
10713,CHEMBL2399
10714,CHEMBL2194
10716,CHEMBL4775
10717,CHEMBL3255
10720,CHEMBL4771
10725,CHEMBL3043
10727,CHEMBL3440
10728,CHEMBL3252
10730,CHEMBL2433
10732,CHEMBL2518
10733,CHEMBL2179
10734,CHEMBL2519
10736,CHEMBL2520
10738,CHEMBL3377
10739,CHEMBL2802
10741,CHEMBL4981
10742,CHEMBL4135
10743,CHEMBL3379
10744,CHEMBL3076
10745,CHEMBL3077
10747,CHEMBL3078
10748,CHEMBL3079
10750,CHEMBL3881
10751,CHEMBL3476
10752,CHEMBL1991
10754,CHEMBL3080
10756,CHEMBL3236
10759,CHEMBL3897
10763,CHEMBL3237
10764,CHEMBL3858
10765,CHEMBL3238
10766,CHEMBL3859
10767,CHEMBL3239
10768,CHEMBL3856
10769,CHEMBL4983
10770,CHEMBL3276
10773,CHEMBL2434
10774,CHEMBL4984
10775,CHEMBL4985
10777,CHEMBL3277
10778,CHEMBL3123
10780,CHEMBL4986
10781,CHEMBL2185
10782,CHEMBL3125
10784,CHEMBL4760
10785,CHEMBL4761
10788,CHEMBL5444
10790,CHEMBL3630
10791,CHEMBL3726
10792,CHEMBL2555
10794,CHEMBL3126
10796,CHEMBL4649
10797,CHEMBL4069
10799,CHEMBL3727
10803,CHEMBL3187
10804,CHEMBL2632
10805,CHEMBL4762
10806,CHEMBL3378
10808,CHEMBL3819
10809,CHEMBL3230
10810,CHEMBL4806
10811,CHEMBL3231
10813,CHEMBL4807
22229,CHEMBL2362975
10814,CHEMBL3724
10818,CHEMBL3805
10819,CHEMBL4808
10824,CHEMBL2633
10825,CHEMBL4809
10827,CHEMBL3087
10832,CHEMBL4810
10834,CHEMBL4811
10836,CHEMBL4812
10839,CHEMBL2147
10841,CHEMBL4552
10842,CHEMBL3032
10844,CHEMBL2634
10845,CHEMBL2536
10849,CHEMBL2148
10850,CHEMBL4237
10851,CHEMBL2511
10853,CHEMBL4863
10854,CHEMBL2641
10856,CHEMBL3062
10857,CHEMBL3028
10862,CHEMBL2880
10865,CHEMBL2846
10866,CHEMBL4865
10868,CHEMBL3191
10869,CHEMBL3192
10870,CHEMBL4866
10871,CHEMBL4867
10872,CHEMBL2847
10873,CHEMBL4868
10874,CHEMBL2559
10876,CHEMBL2560
10877,CHEMBL3633
10878,CHEMBL3582
10879,CHEMBL3424
10880,CHEMBL2938
10881,CHEMBL2794
10885,CHEMBL2595
10886,CHEMBL2596
10887,CHEMBL4869
10888,CHEMBL2796
10889,CHEMBL4553
10891,CHEMBL4770
10892,CHEMBL278
10893,CHEMBL2597
10895,CHEMBL2655
